"","Opération","Division","Description","Designation","TypeUnité","TypeProduit","NombreUnité","StatutADV","Superficie","PrixUnitaire","PrixTotal","NuméroClient","Client","Dossier","TypeDocument","DésignationTypeDeDocument","Création","Vers1","Vers2","Vers3","TotalVersement","VersRegularis","TropPerçuRéglé","TropPerçuNonRéglé","ResteàPayer","TotalAvances"
"6142","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,146,1700,248200,"11054489","Cassondra Wadelin","21635245","ZVL ","Vente libre         ",2018-10-09,74460,74460,99280,248200,0,0,0,0,248200
"3704","180392.03",1805,"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,2,105,950,99750,"11014665","Silvie Hofner","21609905","ZVL ","Vente libre         ",2017-07-27,49875,24937.5,0,74812.5,0,0,0,24937.5,74812.5
"6091","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",1,2,100,1650,165000,"11054119","Kittie Magowan","21635100","ZVL ","Vente libre         ",2018-10-05,49500,49500,66000,165000,0,0,0,0,165000
"4797","180429.01",1803,"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",1,2,95.7,1400,133980,"11079445","Eliot Woolbrook","21748031","ZVL ","Vente libre         ",2019-07-18,53592,40194,40194,133980,0,0,0,0,0
"1098","180277.02",1803,"Nador - Driouch               ","888882-AL OUROUD LS AL AROUIT           ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",1,3,54,5500,297000,"10629368","Hamlin McKernon","21362210","ZVL ","Vente libre         ",2015-06-16,10000,30000,0,40000,0,0,0,257000,40000
"6842","180621.02",1802,"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,2,94,5904.26,555000,"11073702","Maurene Droogan","21656798","ZVL ","Vente libre         ",2019-04-23,138750,277500,138750,555000,0,0,0,0,555000
"3436","180392.02",1805,"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",1,2,256,1755,449280,"10859914","Brandise Lohering","21495105","ZVL ","Vente libre         ",2017-05-19,112320,0,0,112320,0,0,0,336960,112320
"1070","180266.01",1805,"Taourirt                      ","2991-ZAITOUNE MLG LWIDANE               ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,101,300,30300,"10598406","Emalia Keyzor","21219729","ZVL ","Vente libre         ",2006-10-20,10000,10000,10300,30300,0,0,0,0,30300
"811","180212.01",1804,"Jerada-Figuig                 ","98251-AQSA BENI GUIL                    ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,100,60,6000,"10609102","Blondie Haldenby","21212279","ZVL ","Vente libre         ",2000-01-01,4000,0,0,4000,0,0,0,2000,4000
"770","180177.01",1802,"Berkane                       ","11481-PERLE BLEU                        ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",1,5,76,4796.05,364500,"11118450","Wilmette Shevlan","21743536","ZVL ","Vente libre         ",2021-01-26,0,0,0,0,0,0,0,364500,0
"1883","180392.01",1805,"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2                  ",1,2,127,1505,191135,"11105710","Delly Battams","21735176","ZVL ","Vente libre         ",2020-07-28,95567.5,47783.75,0,143351.25,0,0,0,47783.75,143351.25
"6432","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053689","Sibel Masden","21634792","ZVL ","Vente libre         ",2018-10-02,36000,48000,36000,120000,0,0,0,0,120000
"6511","180620.01",1802,"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",1,2,100,1200,120000,"11053614","Florinda Yanshonok","21634715","ZVL ","Vente libre         ",2018-10-02,36000,36000,48000,120000,0,0,0,0,120000
"726","180174.01",1804,"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",1,3,197,329.06,64824,"10574684","Kermie Aleshintsev","21214283","ZVL ","Vente libre         ",2009-11-05,50000,0,0,50000,0,0,0,14824,50000
